"","subject","id","seed","notation","sus","sus.boxcox"
"1",1,2,2051833672,"sc",40,41825.269603651
"2",2,5,2108605786,"sc",40,41825.269603651
"3",3,6,980809349,"sc",50,85418.5995268187
"4",4,8,1975677673,"sc",57.5,133593.740171896
"5",5,11,299112953,"sc",72.5,280498.897670178
"6",6,12,310649036,"sc",32.5,21521.3975857237
"7",7,13,1916526994,"sc",77.5,347228.271838724
"8",8,16,530806819,"sc",92.5,611650.513336975
"9",9,17,290926371,"sc",62.5,174447.720614367
"10",10,18,2117931939,"sc",40,41825.269603651
"11",11,19,1048922923,"sc",12.5,1011.17859415893
"12",12,20,1736209271,"sc",45,60971.6348249468
"13",13,21,1638842287,"sc",60,153085.175480459
"14",14,22,1683345284,"sc",55,115880.258912055
"15",15,23,2055219255,"sc",65,197775.311277551
"16",16,24,1385493348,"sc",37.5,34020.922780762
"17",17,25,1976607728,"sc",80,384359.506374058
"18",18,26,603242395,"sc",45,60971.6348249468
"19",19,28,213904330,"sc",72.5,280498.897670178
"20",20,29,1524781293,"sc",57.5,133593.740171896
"21",21,30,2020808474,"sc",47.5,72488.2641894453
"22",22,31,216425274,"sc",75,312640.783515827
"23",23,32,1460590031,"sc",45,60971.6348249468
"24",24,33,790342637,"sc",47.5,72488.2641894453
"25",25,34,1700181835,"sc",72.5,280498.897670178
"26",26,35,1162175495,"sc",60,153085.175480459
"27",27,36,450050402,"sc",27.5,12609.6745897302
"28",28,37,436751504,"sc",35,27281.1572496741
"29",29,39,1449684040,"sc",80,384359.506374058
"30",30,40,2130912221,"sc",67.5,223162.638017395
"31",31,43,1876369982,"sc",65,197775.311277551
"32",32,45,904296725,"sc",35,27281.1572496741
"33",33,53,944159441,"sc",30,16658.2697242313
"34",34,54,32789223,"sc",45,60971.6348249468
"35",35,55,1776216516,"sc",5,53.5831899008287
"36",36,56,1197490048,"sc",47.5,72488.2641894453
"37",37,58,1209479113,"sc",32.5,21521.3975857237
"38",38,59,1444407963,"sc",22.5,6634.58288612426
"39",39,62,532468672,"sc",22.5,6634.58288612426
"40",40,65,140112808,"sc",32.5,21521.3975857237
"41",41,66,1176156196,"sc",40,41825.269603651
"42",42,67,49407394,"sc",30,16658.2697242313
"43",43,68,1242304743,"sc",62.5,174447.720614367
"44",44,71,1227483714,"sc",45,60971.6348249468
"45",45,72,1660934437,"sc",47.5,72488.2641894453
"46",46,74,416517917,"sc",35,27281.1572496741
"47",47,76,1925785819,"sc",45,60971.6348249468
"48",48,77,2081927725,"sc",47.5,72488.2641894453
"49",49,79,326882635,"sc",75,312640.783515827
"50",50,80,235934462,"sc",50,85418.5995268187
"51",51,81,2014659586,"sc",57.5,133593.740171896
"52",52,82,1778131956,"sc",75,312640.783515827
"53",53,83,2109237847,"sc",45,60971.6348249468
"54",54,84,1012554506,"sc",40,41825.269603651
"55",55,85,416935227,"sc",47.5,72488.2641894453
"56",1,2,2051833672,"cnl",65,197775.311277551
"57",2,5,2108605786,"cnl",45,60971.6348249468
"58",3,6,980809349,"cnl",47.5,72488.2641894453
"59",4,8,1975677673,"cnl",80,384359.506374058
"60",5,11,299112953,"cnl",45,60971.6348249468
"61",6,12,310649036,"cnl",87.5,512006.56111342
"62",7,13,1916526994,"cnl",35,27281.1572496741
"63",8,16,530806819,"cnl",35,27281.1572496741
"64",9,17,290926371,"cnl",35,27281.1572496741
"65",10,18,2117931939,"cnl",57.5,133593.740171896
"66",11,19,1048922923,"cnl",62.5,174447.720614367
"67",12,20,1736209271,"cnl",50,85418.5995268187
"68",13,21,1638842287,"cnl",27.5,12609.6745897302
"69",14,22,1683345284,"cnl",47.5,72488.2641894453
"70",15,23,2055219255,"cnl",45,60971.6348249468
"71",16,24,1385493348,"cnl",62.5,174447.720614367
"72",17,25,1976607728,"cnl",42.5,50779.9098109005
"73",18,26,603242395,"cnl",50,85418.5995268187
"74",19,28,213904330,"cnl",62.5,174447.720614367
"75",20,29,1524781293,"cnl",72.5,280498.897670178
"76",21,30,2020808474,"cnl",70,250705.122886816
"77",22,31,216425274,"cnl",85,466648.950179322
"78",23,32,1460590031,"cnl",67.5,223162.638017395
"79",24,33,790342637,"cnl",75,312640.783515827
"80",25,34,1700181835,"cnl",72.5,280498.897670178
"81",26,35,1162175495,"cnl",75,312640.783515827
"82",27,36,450050402,"cnl",42.5,50779.9098109005
"83",28,37,436751504,"cnl",25,9294.87274763613
"84",29,39,1449684040,"cnl",92.5,611650.513336975
"85",30,40,2130912221,"cnl",57.5,133593.740171896
"86",31,43,1876369982,"cnl",30,16658.2697242313
"87",32,45,904296725,"cnl",57.5,133593.740171896
"88",33,53,944159441,"cnl",62.5,174447.720614367
"89",34,54,32789223,"cnl",60,153085.175480459
"90",35,55,1776216516,"cnl",5,53.5831899008287
"91",36,56,1197490048,"cnl",60,153085.175480459
"92",37,58,1209479113,"cnl",70,250705.122886816
"93",38,59,1444407963,"cnl",55,115880.258912055
"94",39,62,532468672,"cnl",80,384359.506374058
"95",40,65,140112808,"cnl",32.5,21521.3975857237
"96",41,66,1176156196,"cnl",77.5,347228.271838724
"97",42,67,49407394,"cnl",42.5,50779.9098109005
"98",43,68,1242304743,"cnl",67.5,223162.638017395
"99",44,71,1227483714,"cnl",62.5,174447.720614367
"100",45,72,1660934437,"cnl",72.5,280498.897670178
"101",46,74,416517917,"cnl",12.5,1011.17859415893
"102",47,76,1925785819,"cnl",47.5,72488.2641894453
"103",48,77,2081927725,"cnl",80,384359.506374058
"104",49,79,326882635,"cnl",90,560306.692245058
"105",50,80,235934462,"cnl",17.5,2968.42485726562
"106",51,81,2014659586,"cnl",97.5,723876.710934975
"107",52,82,1778131956,"cnl",45,60971.6348249468
"108",53,83,2109237847,"cnl",57.5,133593.740171896
"109",54,84,1012554506,"cnl",20,4551.0980075652
"110",55,85,416935227,"cnl",77.5,347228.271838724
"111",1,2,2051833672,"kv",65,197775.311277551
"112",2,5,2108605786,"kv",35,27281.1572496741
"113",3,6,980809349,"kv",50,85418.5995268187
"114",4,8,1975677673,"kv",77.5,347228.271838724
"115",5,11,299112953,"kv",82.5,424133.266277386
"116",6,12,310649036,"kv",85,466648.950179322
"117",7,13,1916526994,"kv",77.5,347228.271838724
"118",8,16,530806819,"kv",57.5,133593.740171896
"119",9,17,290926371,"kv",25,9294.87274763613
"120",10,18,2117931939,"kv",72.5,280498.897670178
"121",11,19,1048922923,"kv",57.5,133593.740171896
"122",12,20,1736209271,"kv",47.5,72488.2641894453
"123",13,21,1638842287,"kv",60,153085.175480459
"124",14,22,1683345284,"kv",72.5,280498.897670178
"125",15,23,2055219255,"kv",80,384359.506374058
"126",16,24,1385493348,"kv",50,85418.5995268187
"127",17,25,1976607728,"kv",60,153085.175480459
"128",18,26,603242395,"kv",50,85418.5995268187
"129",19,28,213904330,"kv",62.5,174447.720614367
"130",20,29,1524781293,"kv",55,115880.258912055
"131",21,30,2020808474,"kv",77.5,347228.271838724
"132",22,31,216425274,"kv",42.5,50779.9098109005
"133",23,32,1460590031,"kv",70,250705.122886816
"134",24,33,790342637,"kv",77.5,347228.271838724
"135",25,34,1700181835,"kv",65,197775.311277551
"136",26,35,1162175495,"kv",67.5,223162.638017395
"137",27,36,450050402,"kv",72.5,280498.897670178
"138",28,37,436751504,"kv",22.5,6634.58288612426
"139",29,39,1449684040,"kv",80,384359.506374058
"140",30,40,2130912221,"kv",62.5,174447.720614367
"141",31,43,1876369982,"kv",67.5,223162.638017395
"142",32,45,904296725,"kv",60,153085.175480459
"143",33,53,944159441,"kv",72.5,280498.897670178
"144",34,54,32789223,"kv",57.5,133593.740171896
"145",35,55,1776216516,"kv",7.5,196.950695717524
"146",36,56,1197490048,"kv",47.5,72488.2641894453
"147",37,58,1209479113,"kv",60,153085.175480459
"148",38,59,1444407963,"kv",75,312640.783515827
"149",39,62,532468672,"kv",27.5,12609.6745897302
"150",40,65,140112808,"kv",67.5,223162.638017395
"151",41,66,1176156196,"kv",55,115880.258912055
"152",42,67,49407394,"kv",30,16658.2697242313
"153",43,68,1242304743,"kv",27.5,12609.6745897302
"154",44,71,1227483714,"kv",80,384359.506374058
"155",45,72,1660934437,"kv",80,384359.506374058
"156",46,74,416517917,"kv",10,494.966622644098
"157",47,76,1925785819,"kv",45,60971.6348249468
"158",48,77,2081927725,"kv",42.5,50779.9098109005
"159",49,79,326882635,"kv",80,384359.506374058
"160",50,80,235934462,"kv",75,312640.783515827
"161",51,81,2014659586,"kv",77.5,347228.271838724
"162",52,82,1778131956,"kv",32.5,21521.3975857237
"163",53,83,2109237847,"kv",35,27281.1572496741
"164",54,84,1012554506,"kv",42.5,50779.9098109005
"165",55,85,416935227,"kv",75,312640.783515827
