"","question","answer","notion"
"1","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"2","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"3","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"4","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"5","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"6","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"7","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"8","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"9","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"10","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"11","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"12","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"13","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"14","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"15","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"16","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"17","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"18","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"19","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"20","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"21","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"22","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"23","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"24","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"25","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"26","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"27","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"28","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"29","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"30","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"31","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"32","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"33","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"34","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"35","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"36","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"37","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"38","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"39","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"40","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"41","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"42","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"43","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"44","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"45","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"46","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"47","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"48","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"49","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"50","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"51","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"52","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"53","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"54","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"55","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"56","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"57","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"58","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"59","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"60","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"61","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"62","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"63","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"64","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"65","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"66","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"67","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"68","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"69","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"70","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"71","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"72","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"73","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"74","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"75","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"76","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"77","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"78","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"79","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"80","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"81","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"82","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"83","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"84","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"85","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"86","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"87","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"88","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"89","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"90","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"91","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"92","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"93","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"94","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"95","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"96","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"97","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"98","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"99","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"100","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"101","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"102","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"103","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"104","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"105","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"106","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"107","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"108","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"109","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"110","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"111","PQ2. I think the notation would be easy to use.","Disagree","positive"
"112","PQ2. I think the notation would be easy to use.","Neutral","positive"
"113","PQ2. I think the notation would be easy to use.","Disagree","positive"
"114","PQ2. I think the notation would be easy to use.","Neutral","positive"
"115","PQ2. I think the notation would be easy to use.","Agree","positive"
"116","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"117","PQ2. I think the notation would be easy to use.","Agree","positive"
"118","PQ2. I think the notation would be easy to use.","Agree","positive"
"119","PQ2. I think the notation would be easy to use.","Neutral","positive"
"120","PQ2. I think the notation would be easy to use.","Neutral","positive"
"121","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"122","PQ2. I think the notation would be easy to use.","Neutral","positive"
"123","PQ2. I think the notation would be easy to use.","Agree","positive"
"124","PQ2. I think the notation would be easy to use.","Neutral","positive"
"125","PQ2. I think the notation would be easy to use.","Agree","positive"
"126","PQ2. I think the notation would be easy to use.","Disagree","positive"
"127","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"128","PQ2. I think the notation would be easy to use.","Neutral","positive"
"129","PQ2. I think the notation would be easy to use.","Neutral","positive"
"130","PQ2. I think the notation would be easy to use.","Agree","positive"
"131","PQ2. I think the notation would be easy to use.","Disagree","positive"
"132","PQ2. I think the notation would be easy to use.","Agree","positive"
"133","PQ2. I think the notation would be easy to use.","Neutral","positive"
"134","PQ2. I think the notation would be easy to use.","Neutral","positive"
"135","PQ2. I think the notation would be easy to use.","Agree","positive"
"136","PQ2. I think the notation would be easy to use.","Neutral","positive"
"137","PQ2. I think the notation would be easy to use.","Disagree","positive"
"138","PQ2. I think the notation would be easy to use.","Disagree","positive"
"139","PQ2. I think the notation would be easy to use.","Agree","positive"
"140","PQ2. I think the notation would be easy to use.","Neutral","positive"
"141","PQ2. I think the notation would be easy to use.","Neutral","positive"
"142","PQ2. I think the notation would be easy to use.","Disagree","positive"
"143","PQ2. I think the notation would be easy to use.","Disagree","positive"
"144","PQ2. I think the notation would be easy to use.","Neutral","positive"
"145","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"146","PQ2. I think the notation would be easy to use.","Disagree","positive"
"147","PQ2. I think the notation would be easy to use.","Disagree","positive"
"148","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"149","PQ2. I think the notation would be easy to use.","Disagree","positive"
"150","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"151","PQ2. I think the notation would be easy to use.","Neutral","positive"
"152","PQ2. I think the notation would be easy to use.","Disagree","positive"
"153","PQ2. I think the notation would be easy to use.","Agree","positive"
"154","PQ2. I think the notation would be easy to use.","Disagree","positive"
"155","PQ2. I think the notation would be easy to use.","Neutral","positive"
"156","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"157","PQ2. I think the notation would be easy to use.","Disagree","positive"
"158","PQ2. I think the notation would be easy to use.","Disagree","positive"
"159","PQ2. I think the notation would be easy to use.","Agree","positive"
"160","PQ2. I think the notation would be easy to use.","Disagree","positive"
"161","PQ2. I think the notation would be easy to use.","Neutral","positive"
"162","PQ2. I think the notation would be easy to use.","Agree","positive"
"163","PQ2. I think the notation would be easy to use.","Disagree","positive"
"164","PQ2. I think the notation would be easy to use.","Disagree","positive"
"165","PQ2. I think the notation would be easy to use.","Disagree","positive"
"166","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"167","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"168","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"169","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"170","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"171","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"172","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"173","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"174","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"175","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"176","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"177","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"178","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"179","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"180","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"181","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"182","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"183","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Agree","negative"
"184","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"185","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"186","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"187","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"188","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"189","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"190","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"191","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"192","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"193","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"194","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"195","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"196","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"197","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"198","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"199","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"200","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Agree","negative"
"201","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"202","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"203","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"204","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"205","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"206","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"207","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"208","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"209","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"210","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"211","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"212","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"213","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"214","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"215","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"216","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"217","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"218","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"219","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"220","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"221","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"222","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"223","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"224","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"225","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"226","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"227","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"228","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"229","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"230","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"231","PQ3. I find the various functions in this notation are well integrated.","Strongly Disagree","positive"
"232","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"233","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"234","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"235","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"236","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"237","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"238","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"239","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"240","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"241","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"242","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"243","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"244","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"245","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"246","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"247","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"248","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"249","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"250","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"251","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"252","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"253","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"254","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"255","PQ3. I find the various functions in this notation are well integrated.","Strongly Disagree","positive"
"256","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"257","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"258","PQ3. I find the various functions in this notation are well integrated.","Strongly Disagree","positive"
"259","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"260","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"261","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"262","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"263","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"264","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"265","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"266","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"267","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"268","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"269","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"270","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"271","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"272","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"273","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"274","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"275","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"276","NQ3. I think there is too much inconsistency in this notation.","Agree","negative"
"277","NQ3. I think there is too much inconsistency in this notation.","Agree","negative"
"278","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"279","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
